protein_id,go_term
YAL013W,GO:0033698
YAL013W,GO:0070210
YAL013W,GO:0070822
YAL013W,GO:0003674
YAL013W,GO:0042826
YAL014C,GO:0006886
YAL014C,GO:0006896
YAL014C,GO:0006906
YAL014C,GO:0015031
YAL014C,GO:0016192
YAL014C,GO:0048278
YAL014C,GO:0061025
YAL014C,GO:0005737
YAL014C,GO:0005768
YAL014C,GO:0005829
YAL014C,GO:0010008
YAL014C,GO:0012505
YAL014C,GO:0016020
YAL014C,GO:0031201
YAL014C,GO:0000149
YAL014C,GO:0005484
YAL015C,GO:0006281
YAL015C,GO:0006284
YAL015C,GO:0006285
YAL015C,GO:0006289
YAL015C,GO:0034599
YAL015C,GO:0090297
YAL015C,GO:0005634
YAL015C,GO:0005739
YAL015C,GO:0000702
YAL015C,GO:0000703
YAL015C,GO:0003677
YAL015C,GO:0003906
YAL015C,GO:0008534
YAL015C,GO:0016798
YAL015C,GO:0016829
YAL015C,GO:0019104
YAL015C,GO:0140078
YAL016W,GO:0006417
YAL016W,GO:0006470
YAL016W,GO:0007094
YAL016W,GO:0000159
YAL016W,GO:0005634
YAL016W,GO:0005737
YAL016W,GO:0005816
YAL016W,GO:0005829
YAL016W,GO:0005934
YAL016W,GO:0005935
YAL016W,GO:0043332
YAL016W,GO:0004722
YAL016W,GO:0019888
YAL017W,GO:0006338
YAL017W,GO:0006417
YAL017W,GO:0006468
YAL017W,GO:0016310
YAL017W,GO:0035556
YAL017W,GO:0045719
YAL017W,GO:0060917
YAL017W,GO:0005634
YAL017W,GO:0005737
YAL017W,GO:0005829
YAL017W,GO:0004672
YAL017W,GO:0004674
YAL017W,GO:0005524
YAL017W,GO:0044024
YAL017W,GO:0106310
YAL018C,GO:0030435
YAL018C,GO:0030476
YAL018C,GO:0005619
YAL018C,GO:0005628
YAL018C,GO:0005811
YAL018C,GO:0016020
YAL018C,GO:0031160
YAL018C,GO:0003674
YAL019W,GO:0000122
YAL019W,GO:0000183
YAL019W,GO:0000729
YAL019W,GO:0006281
YAL019W,GO:0006325
YAL019W,GO:0006338
YAL019W,GO:0030466
YAL019W,GO:0031507
YAL019W,GO:0031509
YAL019W,GO:0033120
YAL019W,GO:0045944
YAL019W,GO:0000775
YAL019W,GO:0000781
YAL019W,GO:0000785
YAL019W,GO:0005634
YAL019W,GO:0005694
YAL019W,GO:0005739
YAL019W,GO:0031934
YAL019W,GO:0003677
YAL019W,GO:0003682
YAL019W,GO:0004386
YAL019W,GO:0005524
YAL019W,GO:0016787
YAL019W,GO:0016887
YAL019W,GO:0140658
YAL019W,GO:0140750
YAL020C,GO:0002098
YAL020C,GO:0006511
YAL020C,GO:0008033
YAL020C,GO:0016567
YAL020C,GO:0017183
YAL020C,GO:0005737
YAL020C,GO:0003674
YAL020C,GO:0061630
YAL021C,GO:0000076
YAL021C,GO:0000288
YAL021C,GO:0000289
YAL021C,GO:0006260
YAL021C,GO:0006357
YAL021C,GO:0006368
YAL021C,GO:0007089
YAL021C,GO:0032968
YAL021C,GO:0000932
YAL021C,GO:0005634
YAL021C,GO:0005737
YAL021C,GO:0016593
YAL021C,GO:0030014
YAL021C,GO:0030015
YAL021C,GO:0000175
YAL021C,GO:0003723
YAL021C,GO:0003824
YAL021C,GO:0004527
YAL021C,GO:0004535
YAL021C,GO:0046872
YAL022C,GO:0015851
YAL022C,GO:0015858
YAL022C,GO:0034258
YAL022C,GO:0055085
YAL022C,GO:1901642
YAL022C,GO:0000329
YAL022C,GO:0005886
YAL022C,GO:0016020
YAL022C,GO:0005337
YAL022C,GO:0015205
YAL022C,GO:0034257
YAL023C,GO:0006486
YAL023C,GO:0006493
YAL023C,GO:0032527
YAL023C,GO:0035269
YAL023C,GO:0036503
YAL023C,GO:1900101
YAL023C,GO:0005783
YAL023C,GO:0005789
YAL023C,GO:0016020
